4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023,5/13/2023,5/14/2023,5/15/2023,5/16/2023,5/17/2023,5/18/2023,5/19/2023,5/20/2023,5/21/2023,5/22/2023,5/23/2023,5/24/2023,5/25/2023,5/26/2023,5/27/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/2/2023,6/3/2023,6/4/2023,6/5/2023,6/6/2023,6/7/2023,6/8/2023,6/9/2023,6/10/2023,6/11/2023
0.06,0.06,0.06,0.06,0.13,1.22,0.32,1.60,0.32,4.16,0.38,0.32,5.38,2.82,0.32,0.32,0.32,0.38,1.79,2.11,0.32,4.10,3.90,1.60,1.60,2.11,2.75,1.02,3.78,1.22,2.88,2.69,1.73,4.86,0.90,3.26,0.38,0.32,4.22,2.18,1.86,0.38,4.22,2.30,6.40,1.34,2.05,2.69,0.96,2.82,3.84,10.30,7.04,4.67,6.78,2.11,3.90,4.22,1.98,3.84,4.10
0.06,0.06,0.06,0.06,0.13,1.41,0.32,4.03,1.54,3.71,0.38,0.32,3.07,1.98,1.22,0.70,0.32,0.38,2.75,1.41,0.32,1.60,3.07,3.97,1.66,2.24,0.77,0.83,3.58,1.86,2.82,2.56,2.69,4.22,2.50,1.98,0.83,0.32,1.41,1.54,1.73,0.77,3.90,2.62,4.03,2.05,2.62,4.80,1.79,6.14,3.46,7.17,6.53,5.57,4.16,3.14,3.26,5.89,3.46,3.65,3.07
0.06,0.06,0.06,0.06,0.13,1.73,0.32,3.90,2.18,3.52,0.38,1.54,4.16,2.05,1.98,2.24,0.32,0.38,2.56,0.32,0.32,4.10,2.88,4.22,1.73,2.62,1.22,1.47,2.69,2.30,4.03,3.90,3.46,3.39,2.18,0.32,1.15,0.83,0.32,1.79,2.30,1.60,3.26,4.22,3.33,2.05,3.84,5.63,2.18,8.00,2.43,2.05,4.74,6.59,4.54,5.50,1.22,5.25,7.04,3.20,4.48
0.06,0.06,0.06,0.06,0.13,1.47,2.05,4.10,2.88,2.88,0.38,2.24,2.94,1.22,4.42,3.78,0.77,0.38,1.86,0.32,0.32,3.78,5.38,4.42,1.09,8.00,1.86,2.56,3.52,3.84,4.10,2.69,3.46,3.65,2.24,0.51,1.54,1.60,0.32,1.92,3.46,4.35,2.82,5.25,6.85,2.69,2.62,6.27,1.60,9.09,2.50,4.35,6.66,5.12,2.43,7.30,1.47,4.80,7.10,3.52,6.40
0.06,0.06,0.06,0.06,0.13,1.02,3.97,3.58,3.97,2.37,2.11,1.98,3.39,0.58,6.02,4.22,1.79,1.86,1.54,0.32,0.32,3.26,4.86,2.05,1.41,6.98,3.01,4.10,7.94,5.25,5.12,4.10,1.98,2.56,1.28,0.32,1.66,4.29,0.32,0.70,2.05,6.53,3.71,4.35,7.23,1.15,4.99,5.44,0.77,8.45,3.01,5.44,7.42,3.78,2.82,8.51,3.33,3.78,7.87,3.84,5.12
0.06,0.06,0.06,0.06,0.13,1.09,3.97,3.26,4.99,1.79,3.78,2.37,2.05,2.30,6.14,4.03,3.71,6.53,1.02,0.77,0.32,2.37,5.12,0.51,1.47,8.19,3.33,4.80,8.58,6.21,4.61,3.58,0.90,1.60,0.90,0.32,1.86,4.35,0.45,1.34,4.16,6.85,3.58,7.04,5.95,2.50,4.61,6.91,0.64,1.66,7.42,4.86,8.70,3.01,1.54,8.51,3.39,5.63,5.89,5.12,6.21
0.06,0.06,0.06,0.06,0.13,2.18,6.59,2.11,6.46,1.98,4.42,0.64,3.14,1.66,6.27,1.15,6.40,6.34,3.46,0.45,0.32,1.73,0.19,1.41,1.86,4.80,3.52,5.06,6.40,6.27,4.03,3.14,0.38,0.83,1.54,0.32,0.51,4.35,2.94,0.51,1.98,8.38,3.71,6.02,6.34,3.90,3.33,6.59,0.58,1.02,9.09,2.88,8.77,2.30,1.92,5.31,4.35,6.59,3.14,6.53,5.38
0.06,0.06,0.06,0.06,0.13,1.92,4.22,0.77,3.33,3.46,5.57,1.09,2.24,2.37,3.84,4.22,9.41,7.81,4.74,1.60,0.32,2.75,0.45,3.97,1.79,0.96,3.39,3.39,3.84,5.76,2.30,3.20,0.38,0.32,2.75,0.32,0.51,1.86,2.88,0.51,3.46,2.94,3.46,4.10,6.85,3.84,5.31,6.98,2.18,1.47,10.05,2.88,6.21,0.96,1.98,5.50,1.92,6.53,1.47,6.02,5.06
0.06,0.06,0.06,0.06,0.13,2.62,3.26,0.32,3.58,2.94,5.63,2.37,4.03,1.98,3.71,4.61,8.90,6.02,6.78,1.79,0.64,3.39,0.38,4.16,3.39,0.96,3.52,3.01,9.09,4.16,0.45,5.63,0.38,0.32,4.48,0.32,0.32,1.73,2.50,0.32,4.42,2.94,1.22,2.30,7.42,3.46,3.14,5.12,3.90,1.66,5.06,1.34,5.31,1.92,3.97,5.31,1.28,4.86,0.96,4.42,6.72
0.06,0.06,0.06,0.06,0.13,2.69,3.71,0.32,2.50,3.20,3.07,1.92,4.10,0.13,2.30,7.42,6.91,3.71,5.06,1.02,1.15,1.92,0.38,5.38,4.35,2.43,1.92,2.30,3.65,4.86,0.70,6.46,0.51,0.32,2.37,0.32,0.32,1.86,0.32,1.02,4.74,1.79,0.58,1.73,4.16,4.86,4.03,3.01,4.86,1.54,3.20,1.92,8.96,0.64,5.12,3.20,0.26,0.45,2.30,1.28,7.87
